"Global search interest in group's phases, round of 16 and quarterfinals, worldwide",
,
"Search interest in the group's phase matches, from June 14 to June 30, worldwdide. ",
Match,Share of search
Mexico vs Germany,6.90%
Argentina vs Nigeria,5.70%
Croatia vs Argentina,4.90%
Uruguay vs Egypt,4.30%
Morocco vs Portugal,4.00%
Iceland vs Argentina,3.90%
Costa Rica vs Brazil,3.50%
Iceland vs Nigeria,3.30%
Sweden vs Mexico,3.30%
Croatia vs Iceland,3.10%
Sweden vs Germany,2.90%
Senegal vs Poland,2.90%
Spain vs Portugal,2.70%
Colombia vs Poland,2.70%
Brazil vs Serbia,2.70%
Nigeria vs Croatia,2.70%
Denmark vs Peru,2.60%
Peru vs France,2.40%
Colombia vs Senegal,2.40%
England vs Tunisia,2.20%
Serbia vs Costa Rica,2.10%
Panama vs Belgium,2.10%
Belgium vs England,2.10%
Tunisia vs Belgium,2.00%
Panama vs England,1.80%
Switzerland vs Brazil,1.60%
Japan vs Colombia,1.60%
Portugal vs Iran,1.50%
Australia vs France,1.20%
Tunisia vs Panama,1.20%
France vs Denmark,1.20%
Switzerland vs Serbia,1.20%
Peru vs Australia,1.10%
Mexico vs South Korea,1.10%
Spain vs Iran,1.00%
Morocco vs Spain,1.00%
Costa Rica vs Switzerland,0.80%
Saudi Arabia vs Uruguay,0.80%
Iran vs Morocco,0.80%
Germany vs South Korea,0.60%
Egypt vs Russia,0.60%
Egypt vs Saudi Arabia,0.60%
Australia vs Denmark,0.60%
South Korea vs Sweden,0.50%
Russia vs Uruguay,0.50%
Senegal vs Japan,0.50%
Saudi Arabia vs Russia,0.50%
Poland vs Japan,0.30%
,
"Search interest in the matches in the round of 16, from June 30 to July 4th, worldwdide. ",
Match,Share of search
Portugal vs Uruguay,23.20%
Mexico vs Brazil,22.68%
Argentina vs France,17.84%
England vs Colombia,16.38%
Denmark vs Croatia,12.02%
Japan vs Belgium,4.27%
Russia vs Spain,2.17%
Switzerland vs Sweden,1.45%
,
"Search interest in the quarterfinal matches, from July 5 to July 6 (ahead of the quarterfinals),  worldwide",
Match,Share of search
France vs Uruguay,47.84%
Brazil vs Belgium,29.87%
England vs Sweden,19.03%
Russia  vs Croatia,3.26%
